rxn	LB	min	max	UB	ModelStat	SolveStat
RXN_UDPREDUCT_RXN_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	0.00000000	        1.00	        1.00
RXN_E2C_mg2__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_11755_er__L___LIGHT	0.00000000	0.00000000	5033.34739051	10000.00000000	        1.00	        1.00
RXN_ICOSANOYL_COA_SYNTHASE_RXN_er__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_GPH_RXN_er__L___LIGHT	0.00000000	0.00000000	139.65606670	10000.00000000	        1.00	        1.00
RXN_RXN_15816__L___LIGHT	-10000.00000000	0.00000000	824.20394310	10000.00000000	        1.00	        1.00
RXN_Trans_oxygen_molecule_m__L___LIGHT	-10000.00000000	-2586.31958810	412.10197155	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_12860_er__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__L___LIGHT	-10000.00000000	-412.10197155	0.00000000	0.00000000	        1.00	        1.00
RXN_RXN1F_155_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_LINOLEOYL_RXN_er__L___LIGHT	0.00000000	0.00000000	2675.07380017	10000.00000000	        1.00	        1.00
RXN_RXN_4209_c__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN66_3_m__L___LIGHT	0.00000000	0.00000000	120.19640837	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_211_er__L___LIGHT	-10000.00000000	-139.65606670	0.00000000	10000.00000000	        1.00	        1.00
RXN_CYCLOEUCALENOL_CYCLOISOMERASE_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_phosphatidylcholine_g__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_malonyl_acp_m__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_16380_c__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_14220_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_PYRUVATE_CARBOXYLASE_RXN_p__L___LIGHT	0.00000000	0.00000000	5350.14760033	10000.00000000	        1.00	        1.00
RXN_RXN_13323_c__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_2_3_1_179_RXN_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
