,logFC,logCPM,PValue,FDR
Potri.016G046400,10.36626951,9.624807602,6.81E-90,4.88E-86
Potri.013G101000,6.506814075,10.09440778,6.83E-84,2.44E-80
Potri.T111300,10.94924601,9.699682237,1.91E-79,4.55E-76
Potri.012G141300,6.915712576,7.198905651,6.68E-67,1.20E-63
Potri.014G170400,3.80310228,9.358474241,5.66E-57,8.11E-54
Potri.010G010400,-4.927738827,8.879947965,4.53E-56,5.41E-53
Potri.010G150400,6.196408017,8.300072946,1.67E-53,1.71E-50
Potri.005G073100,-4.49509125,8.145004286,3.39E-52,3.04E-49
Potri.006G052800,3.674390257,9.087485708,9.18E-51,7.31E-48
Potri.006G013900,3.868620578,8.645283768,3.65E-50,2.61E-47
Potri.002G260000,-8.235329933,6.095739676,2.92E-49,1.90E-46
Potri.006G155500,-4.251864917,6.955293802,1.08E-47,6.44E-45
Potri.012G094400,6.31139283,7.176896018,6.01E-47,3.31E-44
Potri.001G468500,-4.168239976,6.594954331,4.22E-46,2.16E-43
Potri.T030800,-4.261666163,7.388803128,1.35E-45,6.18E-43
Potri.001G404100,5.258815428,8.670711224,1.38E-45,6.18E-43
Potri.012G002700,4.524221323,6.851197468,1.30E-43,5.49E-41
Potri.006G218000,-4.457849122,6.248389543,1.70E-43,6.75E-41
Potri.008G101000,8.793730594,8.018682163,1.63E-42,6.13E-40
Potri.017G015700,5.304732101,8.667640384,2.58E-42,9.22E-40
Potri.017G108500,3.758416303,8.856874323,5.40E-42,1.84E-39
Potri.002G130700,-3.096544561,7.000991887,3.12E-37,1.02E-34
Potri.012G012100,-3.284394067,6.471267026,5.83E-37,1.81E-34
Potri.010G012100,4.15929521,8.168768045,1.73E-36,5.16E-34
Potri.006G048200,7.548526951,6.303792024,5.50E-36,1.58E-33
Potri.005G055900,-3.103834793,6.536374912,1.95E-35,5.37E-33
Potri.011G123300,4.26101551,8.647627226,2.47E-35,6.56E-33
Potri.009G037300,3.962609166,6.947378542,2.96E-35,7.58E-33
Potri.013G156400,-2.84215324,6.729247451,4.95E-35,1.22E-32
Potri.T137100,5.576837074,5.849907414,3.93E-34,9.38E-32
Potri.004G081300,6.91595644,7.278340317,4.24E-34,9.79E-32
Potri.004G033100,3.723522874,6.970403195,7.36E-34,1.65E-31
Potri.004G172300,4.363816285,7.592592278,9.48E-34,2.06E-31
Potri.019G073800,-3.259915845,6.808255132,3.55E-33,7.49E-31
Potri.005G112600,-3.029391865,6.38706746,6.81E-33,1.39E-30
Potri.014G030500,-3.760010724,6.235548689,8.90E-33,1.77E-30
Potri.016G116800,-4.379634352,7.860622911,1.04E-32,2.02E-30
Potri.013G005800,4.878812468,5.767801531,1.21E-32,2.22E-30
Potri.005G205000,3.138408903,6.677738031,1.21E-32,2.22E-30
Potri.005G098200,3.56700897,6.396341966,1.73E-32,3.10E-30
Potri.009G133500,3.98892645,6.644312578,1.83E-32,3.20E-30
Potri.008G043900,4.089129997,6.995317612,2.01E-32,3.43E-30
Potri.002G017200,3.191116831,7.881182891,3.40E-32,5.67E-30
Potri.002G196700,2.913169789,10.06029515,4.29E-32,6.98E-30
Potri.009G109500,4.616267974,6.089470393,7.56E-32,1.20E-29
Potri.008G057100,4.539421222,7.498480367,2.73E-31,4.24E-29
Potri.014G149700,-4.869665904,9.775527702,3.86E-31,5.79E-29
Potri.003G028200,-3.298167467,6.910393767,3.88E-31,5.79E-29
Potri.012G006300,-3.399348386,6.101597335,4.49E-31,6.56E-29
Potri.003G082300,-2.882530583,6.445518915,7.98E-31,1.14E-28
Potri.006G050400,5.429471828,6.551240453,1.61E-30,2.26E-28
Potri.010G072200,4.244839632,11.81884551,7.01E-30,9.65E-28
Potri.001G075600,-2.755474666,6.618004214,9.14E-30,1.23E-27
Potri.015G087800,3.838965666,6.725630759,5.85E-29,7.76E-27
Potri.017G124200,5.357120565,6.432812453,1.12E-28,1.46E-26
Potri.016G135400,4.728437304,8.984539025,1.28E-28,1.64E-26
Potri.T029600,-2.969399993,7.242949911,3.40E-28,4.27E-26
Potri.003G052800,2.614087874,6.579870659,4.22E-28,5.21E-26
Potri.001G339500,4.716112696,6.114473577,4.64E-28,5.63E-26
Potri.004G206700,-3.067646829,6.846143545,5.50E-28,6.48E-26
Potri.007G083400,3.444665306,6.445153079,5.57E-28,6.48E-26
Potri.002G142800,3.095038274,6.422992756,5.61E-28,6.48E-26
Potri.003G112600,3.697837207,5.91214441,8.43E-28,9.58E-26
Potri.001G263900,4.713875229,6.208981558,8.93E-28,9.99E-26
Potri.012G141800,4.467860735,6.651274623,1.07E-27,1.17E-25
Potri.005G181200,4.455666494,6.427211426,1.32E-27,1.44E-25
Potri.T072000,-2.894895632,6.692662865,1.48E-27,1.58E-25
Potri.011G045000,4.378153953,6.500635094,4.17E-27,4.38E-25
Potri.011G130400,3.123735015,6.748035145,4.22E-27,4.38E-25
Potri.010G079500,-2.579486237,6.995376642,5.20E-27,5.32E-25
Potri.001G167100,3.880964437,8.437786088,5.79E-27,5.84E-25
Potri.011G057500,3.828890079,9.206318254,7.67E-27,7.62E-25
Potri.015G099200,7.19565318,6.43048932,8.34E-27,8.18E-25
Potri.015G100800,-2.951604298,6.118757007,8.48E-27,8.21E-25
Potri.008G026100,4.183846966,7.22742269,1.70E-26,1.62E-24
Potri.016G137900,-2.493382772,6.589555183,1.79E-26,1.68E-24
Potri.009G089400,4.308559358,7.591034066,2.22E-26,2.06E-24
Potri.010G006800,5.469202033,7.380220353,3.51E-26,3.22E-24
Potri.002G122800,2.846229468,7.937097041,9.00E-26,8.16E-24
Potri.015G091900,3.168949493,5.969656261,9.48E-26,8.49E-24
Potri.005G002100,4.543088502,7.552517206,1.05E-25,9.26E-24
Potri.010G245200,3.432838258,7.548774359,1.19E-25,1.04E-23
Potri.006G092700,2.661708019,7.733493304,1.88E-25,1.62E-23
Potri.001G240900,3.545588467,6.95231516,2.38E-25,2.03E-23
Potri.014G134300,-2.483273477,6.607746335,2.75E-25,2.31E-23
Potri.014G022900,-3.022706612,8.044834791,3.30E-25,2.75E-23
Potri.011G112400,3.517930774,7.129376258,3.74E-25,3.08E-23
Potri.004G048300,3.592118908,9.256897188,5.04E-25,4.10E-23
Potri.013G148400,2.603370241,8.67109242,5.89E-25,4.74E-23
Potri.002G249300,-2.513158589,7.769871239,6.24E-25,4.97E-23
Potri.014G152600,-2.925655331,8.317062471,7.65E-25,6.02E-23
Potri.013G083600,5.429061373,6.023189657,8.72E-25,6.79E-23
Potri.013G061200,2.432749906,7.830301773,1.03E-24,7.96E-23
