"","logFC","logCPM","PValue","FDR"
"Potri.014G103000",8.16471320520845,9.12227368136513,1.70895035911684e-45,1.32272757795643e-41
"Potri.003G165000",8.76456905472724,9.42757235969814,2.78317906658042e-43,1.07709029876662e-39
"Potri.003G103900",7.91301276141975,8.36261741978003,9.2501666778687e-36,2.38654300289013e-32
"Potri.001G404100",6.77237117794593,7.87926314397447,2.09428790056314e-35,4.05244708758967e-32
"Potri.006G226900",-6.05225898782026,9.2311530096828,5.52184212117137e-35,8.54781160357329e-32
"Potri.008G028400",7.10286037817256,7.62011020338847,7.54572886543358e-35,9.73399023640932e-32
"Potri.007G100100",-6.16167112790389,8.79123509972697,1.75614654879983e-33,1.94179632681581e-30
"Potri.001G219100",7.26731570111828,7.64261062391449,3.96161735019748e-33,3.83286478631606e-30
"Potri.013G129800",6.60200486500407,8.11893826679101,4.95265465066641e-33,4.25928299957312e-30
"Potri.T111300",7.99758335246249,8.87966934032082,1.55992862272734e-32,1.1675564015072e-29
"Potri.016G046400",7.4415109655885,9.00497402108143,1.65931788327897e-32,1.1675564015072e-29
"Potri.011G123300",5.70256045601541,7.93580922043504,1.87821051955756e-32,1.21144578511462e-29
"Potri.001G166200",7.66047466402058,8.80974713692214,1.18897178158468e-31,7.07895506881957e-29
"Potri.001G106100",-5.45960203583073,8.39549709433467,1.70670624695736e-31,9.43564739389283e-29
"Potri.003G068900",7.62776160031354,8.61011910482115,3.17560815478667e-31,1.63861380786992e-28
"Potri.002G017200",7.31826209288818,7.13806423922657,1.11764016798599e-30,4.98736135976696e-28
"Potri.015G018800",6.94454470229542,5.7096738570631,1.15716716084253e-30,4.98736135976696e-28
"Potri.018G044100",-6.80073039492359,6.68328537487416,1.15985147901557e-30,4.98736135976696e-28
"Potri.002G098400",10.4955279968239,8.69580111774489,6.87072010810213e-30,2.72621766344189e-27
"Potri.016G112400",7.96530368850658,9.90319946827004,7.04449008641315e-30,2.72621766344189e-27
"Potri.T137100",7.64928559505758,6.00334805288323,8.19519283551588e-30,3.02051393080442e-27
"Potri.015G003100",-5.84701356451562,5.5879439053073,1.09501945092661e-29,3.85247752280543e-27
"Potri.019G130500",6.83668442541549,6.59651044567622,1.16140586429807e-29,3.90838321289874e-27
"Potri.010G150800",4.96238456724319,9.7549913415971,2.73993648512722e-29,8.54125067345794e-27
"Potri.006G123200",-4.49117292501051,10.1440667670051,2.75880189711174e-29,8.54125067345794e-27
"Potri.006G138900",6.22616484584876,7.2491120956389,3.17822993286272e-29,9.4613460309067e-27
"Potri.016G013000",-5.53397870073955,9.15337085133619,5.83277338361793e-29,1.67206170330381e-26
"Potri.004G103100",5.74094250786475,5.49403751612576,8.36857405514599e-29,2.31331297095821e-26
"Potri.011G112400",5.05680113873308,9.12033951594139,1.27713811288692e-28,3.40863758404991e-26
"Potri.016G128300",5.52219577262062,6.81287135014287,2.12418676707563e-28,5.48040185905513e-26
"Potri.001G240600",5.34859590724927,6.5606036922531,2.88207859769982e-28,7.19589946651505e-26
"Potri.007G006100",4.86247022255593,5.72647774726365,5.83704219262828e-28,1.41183458034196e-25
"Potri.001G378400",5.30407220844227,6.71561434531994,6.26507860146666e-28,1.469445708344e-25
"Potri.010G187800",5.86981855744668,8.28503279277608,1.50521823960583e-27,3.42658505133798e-25
"Potri.011G003100",7.91530545794582,5.32455729660755,2.90169851427428e-27,6.41689900013798e-25
"Potri.014G094400",-5.02425968089575,6.08660106118289,4.62773905194487e-27,9.94963896168147e-25
"Potri.014G034500",-9.2734707645129,6.58165073728526,5.01047588931923e-27,1.04813738873867e-24
"Potri.017G085000",-4.71645395967804,5.64091129748054,5.18337844947312e-27,1.05577234734005e-24
"Potri.004G034400",4.89422361757244,6.94601108548119,7.24816089889575e-27,1.43848116301162e-24
"Potri.012G002700",5.0277702499121,7.41416527571959,1.27136227908337e-26,2.46008601002632e-24
"Potri.001G084000",5.0203210385859,9.18805345075391,1.50726821470592e-26,2.84542828824971e-24
"Potri.018G016500",-4.55098114076454,5.75449848377204,2.3955850463518e-26,4.41402579863169e-24
"Potri.005G002100",4.26704858729085,8.97497525527476,2.45223655479538e-26,4.41402579863169e-24
"Potri.009G089400",5.19892831789802,7.13986171862941,3.19422000316544e-26,5.61892336920465e-24
"Potri.005G006300",-4.36955797916779,5.70345373842307,8.46830301249913e-26,1.42651258267664e-23
"Potri.001G133300",-4.41842335967496,6.14964718615107,8.47798175750974e-26,1.42651258267664e-23
"Potri.003G194700",4.20484353841134,5.72973816114479,9.4396444118804e-26,1.55452867548839e-23
"Potri.007G055500",5.49129771021451,7.04388814425873,1.32009746825837e-25,2.12865716756662e-23
"Potri.001G325100",4.68840437629871,7.65700105800893,2.07955726963773e-25,3.28485168714205e-23
"Potri.006G166700",9.80556984865069,9.70386203508832,2.45552034722376e-25,3.80114549750239e-23
"Potri.005G087200",6.85488592191303,5.71944634286351,2.85704240222834e-25,4.33598199867594e-23
"Potri.005G176100",-4.73918437984631,6.29754033864171,3.02981715965408e-25,4.50976631071588e-23
"Potri.001G158800",4.11769811752583,5.67466061783858,3.29413753842615e-25,4.8106838768714e-23
"Potri.001G376200",6.46633413839843,6.44452158439927,3.52739888057411e-25,5.05593839548955e-23
"Potri.001G320800",-4.10493942628527,8.94806714085408,3.78499740380453e-25,5.32652361917219e-23
"Potri.002G257700",-5.1615000958942,6.5428596894687,3.95191409089895e-25,5.4621098327782e-23
"Potri.008G174100",5.40503934344112,7.21248127377739,5.46352651164734e-25,7.41889389476322e-23
"Potri.002G102100",7.71311584671353,7.13794767647044,5.58326890718086e-25,7.45077609337584e-23
"Potri.010G089800",9.55062027593691,8.10934869520048,9.61449266410987e-25,1.26129107152899e-22
"Potri.018G129200",6.37547002166803,10.1723974402187,1.30439759414384e-24,1.68267289644556e-22
"Potri.015G134600",-5.36931224239819,5.45405209677822,1.55699176914137e-24,1.97559283494331e-22
"Potri.011G025400",6.37902701238312,10.8099402147706,1.63597765310447e-24,2.04233339274654e-22
"Potri.007G089000",4.30350750931586,6.12209642722865,1.85742128927373e-24,2.28197472682202e-22
"Potri.019G121900",10.3784468358728,8.55862541795447,2.23024184444351e-24,2.69719873062387e-22
"Potri.013G101000",7.73378835673851,8.36662219077154,2.6889063023218e-24,3.20186688922626e-22
"Potri.018G130000",-5.28386749038023,5.56255894441517,3.06263373037363e-24,3.59163410198362e-22
"Potri.008G087600",-4.11601652887709,5.7355762941977,3.67000677569826e-24,4.23967946923948e-22
"Potri.017G108500",5.81098101579714,7.43693032635923,4.79748060218362e-24,5.46066174425018e-22
"Potri.005G186200",5.38023681359095,7.56440334423854,5.72060773630646e-24,6.4170295476829e-22
"Potri.015G076000",11.6933696413195,10.6271601460245,7.03646222387121e-24,7.78031680182331e-22
"Potri.001G062500",8.54024228255872,8.40050962352048,7.2999179723448e-24,7.95793874731672e-22
"Potri.T002600",4.72268815350344,7.22148541560654,9.1036624394259e-24,9.78643712238284e-22
"Potri.009G081800",6.42378164644476,5.38239714349042,1.33873051162169e-23,1.41942111780163e-21
"Potri.002G191600",6.39259224469783,6.85174885853395,1.58449411319528e-23,1.65729519407182e-21
"Potri.014G100900",5.79694512749278,8.27036903757142,1.79103392447407e-23,1.84834701005724e-21
"Potri.002G155300",5.86380918917387,8.67587187091239,1.82555985338898e-23,1.85918858753036e-21
"Potri.002G224100",9.09299495642063,10.0101006005548,1.98331443483702e-23,1.99361736696605e-21
"Potri.015G036800",-4.43005060427237,5.44120380363576,2.25409139916178e-23,2.23675223455284e-21
"Potri.010G245200",4.67185212453864,8.07773004440875,2.37837170711166e-23,2.3302021535499e-21
"Potri.014G156600",-4.078295795244,5.66331325604365,2.51123561445156e-23,2.42962045698188e-21
"Potri.002G100500",5.57086436949826,6.98409510592035,2.94647506893245e-23,2.81552062142434e-21
"Potri.002G065600",6.39847517327036,7.58361797664506,3.22130358749803e-23,3.04059631307741e-21
"Potri.006G129900",-4.3792507789647,5.86006025637889,4.40655570651876e-23,4.10924592391026e-21
"Potri.019G031400",5.20471514754198,5.39468315182687,5.31921304785756e-23,4.90127487981161e-21
"Potri.003G159800",5.69269918152809,6.99554943667475,5.44479671196059e-23,4.95796782947941e-21
"Potri.002G039100",4.47214655313233,5.41580591369862,8.09346623409313e-23,7.28411961068381e-21
"Potri.011G083900",7.53408882310074,8.62346934425595,9.67239988288856e-23,8.60510058546638e-21
"Potri.010G231000",-3.959860016834,6.03219406910467,1.42150679942832e-22,1.25027984404263e-20
"Potri.013G057500",-4.27326280781514,6.58535422627364,1.50741370208061e-22,1.3109418038319e-20
"Potri.001G120300",-4.46044884184563,5.7301334499587,1.63601764225348e-22,1.40697517233799e-20
"Potri.015G042000",8.80310854975284,6.45162668723993,1.71626436455585e-22,1.45976771227058e-20
"Potri.014G135900",4.29548400972747,7.86819612415435,2.05544258476001e-22,1.72925278326548e-20
"Potri.002G007300",-5.89798995373383,5.21743693552235,2.21755246470126e-22,1.84557592223524e-20
"Potri.016G117100",7.04603804350855,9.74562350442497,2.34885977670964e-22,1.93406113529071e-20
"Potri.012G131800",3.70435172491718,5.64760116555346,2.53586698892431e-22,2.06606426255517e-20
"Potri.016G137400",6.3827034614393,7.66369324095061,2.69821615030883e-22,2.1754367711865e-20
"Potri.005G237900",-3.94102496060286,5.58520013696299,2.78251919979184e-22,2.22027820684421e-20
"Potri.003G126800",-4.42521079156549,7.42870671273884,3.0231794554606e-22,2.3876947944148e-20
"Potri.019G124600",7.43849760658656,8.45051871002806,3.45458518777279e-22,2.70085751044054e-20
"Potri.T087000",6.56889901645325,6.32803149880226,3.60370820791582e-22,2.78927015292685e-20
"Potri.006G101100",11.9271639059665,9.17134358794868,3.6584118891557e-22,2.80357505168962e-20
"Potri.001G328000",7.04849328532462,6.59093358018168,3.90999639597223e-22,2.96699726517893e-20
"Potri.005G024800",4.05364732919244,7.26896628217255,5.14390044306573e-22,3.8654164494494e-20
